Name,Age,,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,
Tim Federowicz,28,us US,R,R,5' 10",215,Aug 5 1987,5,17,7,17,12,0,12,0,0,0,0,0,0,0,0,0,9,0,-0.4,,
Dexter Fowler,30,us US,B,R,6' 5",195,Mar 22 1986,9,125,118,125,121,0,0,0,0,0,0,0,121,0,121,1,4,0,4.1,$8000000,All-Star
Justin Grimm,27,us US,R,R,6' 3",210,Aug 16 1988,5,68,0,64,68,68,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$1275000,
Jason Hammel,33,us US,R,R,6' 6",225,Sep 2 1982,11,35,30,35,30,30,0,0,0,0,0,0,0,0,0,0,5,0,1.7,$9000000,
Kyle Hendricks,26,us US,R,R,6' 3",190,Dec 7 1989,3,32,30,30,31,31,0,0,0,0,0,0,0,0,0,0,0,1,5.2,$541000,
Jason Heyward,26,us US,L,L,6' 5",240,Aug 9 1989,7,142,133,142,141,0,0,0,0,0,0,0,24,131,155,0,2,0,1.3,$21666666,
Ryan Kalish,28,us US,L,L,6' 0",215,Mar 28 1988,4,7,1,7,3,0,0,0,0,0,0,2,0,1,3,0,6,0,0.1,,
Munenori Kawasaki,35,jp JP,L,R,5' 11",175,Jun 3 1981,5,14,4,14,11,0,0,0,10,1,0,0,0,0,0,0,5,1,0.2,,
Tommy La Stella,27,us US,L,R,5' 11",180,Jan 31 1989,3,74,31,74,41,0,0,0,9,33,0,0,0,0,0,0,37,0,0.5,$532000,
John Lackey,37,us US,R,R,6' 6",235,Oct 23 1978,14,29,29,28,29,29,0,0,0,0,0,0,0,0,0,0,0,0,2.5,$16000000,
Jon Lester,32,us US,L,L,6' 4",240,Jan 7 1984,11,33,32,30,32,32,0,0,0,0,0,0,0,0,0,0,1,0,5.5,$25000000,All-Star
Brian Matusz,29,us US,L,L,6' 5",190,Feb 11 1987,8,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,
Miguel Montero,32,ve VE,L,R,5' 11",221,Jul 9 1983,11,86,65,86,72,1,71,0,0,0,0,0,0,0,0,1,19,0,-0.5,$14000000,
Mike Montgomery,26,us US,L,L,6' 5",215,Jul 1 1989,2,17,5,16,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$515000,
Joe Nathan,41,us US,R,R,6' 4",230,Nov 22 1974,16,3,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,
Spencer Patton,28,us US,R,R,6' 1",200,Feb 20 1988,3,16,0,16,16,16,0,0,0,0,0,1,0,0,1,0,0,0,-0.5,,
Felix Pena,26,do DO,R,R,6' 2",185,Feb 25 1990,1st,11,0,11,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,
Joel Peralta,40,do DO,R,R,5' 10",210,Mar 23 1976,12,5,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,
Neil Ramirez,27,us US,R,R,6' 4",215,May 25 1989,3,8,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$524500,
Clayton Richard,32,us US,L,L,6' 5",240,Sep 12 1983,8,26,0,26,25,25,0,0,0,0,0,0,0,0,0,0,1,0,-0.6,$2000000,
Anthony Rizzo,26,us US,L,L,6' 3",240,Aug 8 1989,6,155,151,155,154,0,0,154,1,0,0,0,0,0,0,0,2,0,5.5,$5000000,All-Star
Hector Rondon,28,ve VE,R,R,6' 3",230,Feb 26 1988,4,54,0,53,54,54,0,0,0,0,0,0,0,0,0,0,0,0,0.4,$4200000,
David Ross,39,us US,R,R,6' 2",230,Mar 19 1977,15,67,50,67,58,0,58,0,0,0,0,0,0,0,0,0,10,0,1.7,$2500000,
Addison Russell,22,us US,R,R,6' 0",200,Jan 23 1994,2,151,141,151,148,0,0,0,0,0,148,0,0,0,0,0,6,0,4.1,$527000,All-Star
Kyle Schwarber,23,us US,L,R,6' 0",235,Mar 5 1993,2,2,2,2,2,0,0,0,0,0,0,2,0,0,2,0,0,0,-0.1,$522000,
Joe Smith,32,us US,R,R,6' 2",205,Mar 22 1984,10,16,0,15,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$5250000,
Jorge Soler,24,cu CU,R,R,6' 4",230,Feb 25 1992,3,86,63,86,60,0,0,0,0,0,0,53,0,7,60,7,21,0,0.1,$3666667,
Pedro Strop,31,do DO,R,R,6' 1",220,Jun 13 1985,8,55,0,52,54,54,0,0,0,0,0,1,0,0,1,0,0,0,0.8,$4400000,
Matt Szczur,26,us US,R,R,6' 0",200,Jul 20 1989,3,107,29,107,70,0,0,0,0,0,0,50,15,15,80,0,49,9,0.3,$511500,
Adam Warren,28,us US,R,R,6' 1",224,Aug 25 1987,5,29,1,29,29,29,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,,
Travis Wood,29,us US,R,L,5' 11",175,Feb 6 1987,7,81,0,76,78,77,0,0,0,0,0,3,0,0,3,0,2,3,0.6,$6175000,
Rob Zastryzny,24,ca CA,R,L,6' 3",205,Mar 26 1992,1st,8,1,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,
Ben Zobrist,35,us US,B,R,6' 3",210,May 26 1981,11,147,142,147,146,0,0,1,119,0,1,27,0,24,51,0,4,0,3.7,$10500000,All-Star
